depth,faith,trust_no_verify,trust_verified
1,0.5538102783517047,0.9173580898619904,0.9586790449309952
2,0.30670582440799266,0.8415458650352396,0.9190655111898052
3,0.16985683798747947,0.7719989072799839,0.8810888464964592
4,0.09406846272578642,0.7081994429579098,0.8446814138585778
5,0.052096081526284733,0.6496724882331938,0.809778371108904
6,0.028851345411104852,0.5959823128414891,0.7763175554204611
7,0.015978171632945157,0.5467291960997996,0.7442393725936527
8,0.00884887567959267,0.5015464510058938,0.713486690918126
