round,faith_reliability_mean,faith_overclaim_mean,faith_invested_mean,trust_reliability_mean,trust_overclaim_mean,trust_invested_mean
0,0.9200000000000003,0.0,0.5010208333333334,0.9200000000000003,0.0,0.5010208333333334
1,0.7502168404234726,0.29835416666666664,0.35322916666666665,0.9189856588926538,0.0014375000000000002,0.5244375
2,0.6708570377778112,0.5076875,0.24827083333333333,0.9186776570546868,0.0019375,0.5414375
3,0.6277861518046138,0.6518333333333334,0.17635416666666667,0.9182293424426949,0.0026458333333333334,0.5527708333333333
4,0.6009014813313666,0.7555624999999999,0.12347916666666665,0.9179751531071759,0.0030624999999999997,0.5598125
5,0.5850591996974603,0.8243958333333333,0.08979166666666666,0.9177547851976137,0.003437500000000001,0.5663333333333332
6,0.5758463105846984,0.8737083333333334,0.06539583333333333,0.9177279416640906,0.0035,0.5696875
7,0.5750095077514882,0.7830208333333335,0.04860416666666667,0.9175504143688628,0.0037916666666666667,0.5730833333333333
8,0.5701551640128208,0.7322291666666666,0.03635416666666667,0.9176476789158233,0.003645833333333333,0.5754583333333333
9,0.5618140504762886,0.7462708333333333,0.027791666666666662,0.9175405090553869,0.003833333333333333,0.5771666666666667
10,0.5598394581333528,0.7938541666666667,0.021562500000000002,0.9173734875931343,0.0041041666666666666,0.5778125
11,0.5583478409593471,0.7149791666666667,0.017187499999999998,0.9170545828722316,0.004604166666666666,0.5772708333333334
12,0.5563983109654607,0.6753750000000002,0.014604166666666666,0.916785644077132,0.0050416666666666665,0.5781666666666666
13,0.5563736860711578,0.6944791666666665,0.013166666666666669,0.9171719308274272,0.0044375,0.5790416666666667
14,0.5552628104248862,0.6325208333333333,0.011666666666666667,0.9172294899570334,0.004354166666666667,0.5794374999999999
15,0.5555798595438179,0.6518541666666666,0.010604166666666666,0.9173188022199273,0.004208333333333334,0.5788541666666666
16,0.5545110090703793,0.5907291666666666,0.009958333333333333,0.9173955669000664,0.004083333333333334,0.5787916666666667
17,0.554478251321605,0.5887916666666667,0.0094375,0.9174059849277406,0.0040625,0.5789791666666667
18,0.5543879088885744,0.5723125,0.0090625,0.9174764492968377,0.003958333333333334,0.5795833333333332
19,0.5542302023247497,0.5354791666666667,0.009416666666666669,0.9178454680243012,0.003375,0.5801875
20,0.5543278686499562,0.5499791666666667,0.009083333333333334,0.9176326738796265,0.003708333333333333,0.5800833333333334
21,0.5539085352513983,0.5325000000000001,0.008583333333333333,0.9177400859549332,0.0035416666666666665,0.5796874999999999
22,0.5541582801630254,0.547,0.008979166666666668,0.9174966597464284,0.003916666666666666,0.5793125
23,0.5539867191400507,0.46839583333333334,0.008937500000000001,0.9171273125326485,0.0045000000000000005,0.5794166666666666
24,0.5540708757749594,0.4901041666666666,0.008375,0.9172437019161498,0.0043125,0.5788333333333333
25,0.5541188903609795,0.4676875,0.008916666666666668,0.9172844846993481,0.00425,0.5791875000000001
26,0.554435072261608,0.44975000000000004,0.00925,0.9170849932822805,0.004562500000000001,0.5794583333333333
27,0.5542158125201629,0.47704166666666675,0.009166666666666667,0.9170851973059291,0.0045625,0.5794166666666666
28,0.5545791047360995,0.46916666666666673,0.009229166666666669,0.9171294899983353,0.0045,0.5794791666666667
29,0.5539006614344185,0.49052083333333335,0.009062500000000001,0.917111091000064,0.004520833333333334,0.57875
30,0.5542956596243033,0.492375,0.008583333333333333,0.917353252424261,0.004145833333333334,0.5788958333333333
31,0.554032928350923,0.5195,0.0085625,0.9174705929798158,0.003958333333333334,0.57875
32,0.5538100278034633,0.5234166666666668,0.008395833333333333,0.9175233608573149,0.003875,0.57875
33,0.5537427688681339,0.5541041666666667,0.0081875,0.9174064962502496,0.0040625,0.5786250000000001
34,0.5542607047854663,0.5106458333333334,0.008479166666666668,0.9172804701911584,0.0042499999999999994,0.5784999999999999
35,0.5540546847455907,0.5167083333333333,0.008520833333333333,0.9172657695096055,0.004270833333333333,0.5786458333333334
36,0.5541230509079331,0.4709375,0.008666666666666668,0.9173868811948714,0.004083333333333334,0.5788958333333334
37,0.5543039862750794,0.49235416666666665,0.009104166666666668,0.917325104402182,0.0041875,0.5789583333333334
38,0.5540843365426409,0.5324583333333334,0.008937500000000001,0.9173781215121286,0.0041041666666666666,0.579375
39,0.5539971084275813,0.4953541666666667,0.0085,0.9174172134732409,0.0040416666666666665,0.5789791666666666
40,0.5537694894483186,0.5714166666666666,0.008395833333333333,0.9174845971995259,0.0039375,0.5791875000000001
41,0.5537836071750591,0.512625,0.008020833333333333,0.9172327062738558,0.004333333333333334,0.578625
42,0.5537011071145673,0.5087708333333333,0.008020833333333333,0.9172783135374476,0.00425,0.5784791666666667
43,0.5537044481701022,0.49025,0.0081875,0.9175742219112024,0.0037916666666666667,0.5790208333333333
44,0.5540626799526449,0.5044375,0.008291666666666668,0.9173446924231815,0.004145833333333334,0.5784791666666667
45,0.553872123129257,0.5534166666666667,0.008375,0.9172364443921266,0.0043125,0.5788958333333333
46,0.5540980542062562,0.47252083333333333,0.008562499999999999,0.9170680953316884,0.004583333333333334,0.5789791666666666
47,0.5539305997942685,0.5536666666666666,0.008458333333333333,0.9172301046383385,0.004333333333333334,0.5795208333333334
48,0.5535722528959799,0.4608125,0.008020833333333333,0.917210804607738,0.0043749999999999995,0.5793958333333333
49,0.5536895306121025,0.5228958333333332,0.008104166666666668,0.9172674742748891,0.004291666666666667,0.5795833333333333
50,0.5539674653702037,0.529,0.008125,0.9174113475263059,0.0040625,0.5797083333333334
51,0.5538474167815819,0.47058333333333335,0.008229166666666668,0.9175138660067038,0.003895833333333333,0.5794166666666666
52,0.5541788836566796,0.5250625000000001,0.0085625,0.9172877939005359,0.00425,0.5791875000000001
53,0.5540848865381645,0.47877083333333337,0.008208333333333333,0.9173438734480014,0.004166666666666667,0.57875
54,0.5537831958306273,0.572375,0.008249999999999999,0.9173019200800242,0.004229166666666667,0.57875
55,0.5537482149681013,0.5257291666666667,0.0079375,0.917194320372111,0.004395833333333334,0.5782708333333333
56,0.554066155134436,0.4781458333333333,0.008395833333333333,0.9173136492453614,0.004208333333333334,0.5782916666666668
57,0.5535384754225738,0.5076458333333334,0.0081875,0.9172453649509708,0.0043125,0.5783958333333333
58,0.5540599150029807,0.5672291666666667,0.0079375,0.9174448497537023,0.004,0.5787708333333333
59,0.5536830109648492,0.5188125,0.008145833333333333,0.9172983231377329,0.004229166666666667,0.5789583333333334
60,0.5544714725071608,0.4633541666666667,0.008625,0.9171916534314833,0.004395833333333334,0.5792291666666666
61,0.5538817658819787,0.5245624999999999,0.008354166666666668,0.9170314668345978,0.004645833333333333,0.57875
62,0.5537201017367251,0.49022916666666666,0.0083125,0.917147600758847,0.004458333333333333,0.5790000000000001
63,0.5540502810408369,0.5028541666666667,0.008375,0.9171476439828666,0.004458333333333333,0.5790416666666667
64,0.554013847863862,0.4880625,0.008229166666666668,0.9172942663059223,0.004229166666666667,0.5790208333333333
65,0.5537233460347871,0.5636458333333333,0.008166666666666668,0.9175722851898066,0.0037916666666666667,0.5790208333333333
66,0.5538417552139817,0.5284791666666666,0.008041666666666667,0.9174006204190895,0.0040625,0.5787291666666666
67,0.5535346154627551,0.48033333333333333,0.007854166666666667,0.9173089781458744,0.004208333333333334,0.5780208333333333
68,0.5542808464271519,0.5253333333333333,0.008,0.9173982245977576,0.0040625,0.5785
69,0.5535842727041979,0.47929166666666667,0.007458333333333333,0.917480285341497,0.0039375,0.57875
70,0.5536858296485674,0.4985833333333334,0.0076875,0.917123016058215,0.0045000000000000005,0.5781875
71,0.5535364564587553,0.44618749999999996,0.0074375,0.9172106570992536,0.004354166666666667,0.5785416666666666
72,0.553229006735218,0.4738541666666667,0.007229166666666666,0.9170782273354515,0.0045625,0.5783333333333333
73,0.553198075277875,0.4318125,0.007083333333333333,0.9173587453927556,0.004125,0.5789166666666666
74,0.5534184362818458,0.48795833333333327,0.0073124999999999996,0.9172154174702412,0.004354166666666667,0.5790208333333333
75,0.5539243155478263,0.4801250000000001,0.007583333333333333,0.9172305933919689,0.004333333333333334,0.57875
76,0.5537551709831038,0.4968958333333333,0.0077083333333333335,0.9172557890419025,0.004291666666666667,0.5790208333333333
77,0.5537526313649126,0.5071041666666666,0.007916666666666667,0.9172498013737483,0.004291666666666667,0.5789166666666666
78,0.5535380077524955,0.46825,0.007145833333333333,0.9170846385686412,0.004541666666666667,0.5781041666666666
79,0.5533781859946688,0.4772083333333333,0.007541666666666666,0.9169396639752784,0.004770833333333333,0.5782916666666668
80,0.5541766095865138,0.4943125,0.008041666666666667,0.9173278669449262,0.004166666666666667,0.5787291666666666
81,0.5538568933545172,0.4570208333333334,0.008375,0.9173574192711317,0.004125,0.5792916666666666
82,0.5541642548416122,0.48187500000000005,0.008583333333333333,0.9172896388403909,0.004229166666666667,0.5793958333333333
83,0.5537718631053211,0.49983333333333335,0.008166666666666668,0.917198622752136,0.004375,0.57925
84,0.5538498425058074,0.4844166666666667,0.008270833333333333,0.9171584678016093,0.0044375000000000005,0.5790833333333333
85,0.5536726749618416,0.44935416666666667,0.007791666666666666,0.9173348073060069,0.004166666666666667,0.579125
86,0.5538979582784379,0.5252083333333333,0.0080625,0.917218762405648,0.004354166666666667,0.5788958333333333
87,0.5537289958404051,0.47008333333333335,0.008145833333333333,0.9172140320522454,0.004354166666666667,0.5788125000000001
88,0.5535187286065321,0.4535,0.007604166666666666,0.9171922042673062,0.004395833333333333,0.5786666666666668
89,0.5532494102844613,0.506125,0.0071874999999999994,0.9170843680324902,0.0045625,0.578125
90,0.5535684271708351,0.5042083333333333,0.0071874999999999994,0.9171282665543931,0.0045,0.5782916666666668
91,0.5535082153152592,0.48114583333333333,0.007520833333333333,0.9172083048008197,0.0043749999999999995,0.5785208333333333
92,0.5535056759693515,0.4730625,0.0073124999999999996,0.9171231645406261,0.0045,0.5783541666666666
93,0.5536288041185892,0.46537500000000004,0.007625,0.9172455892165647,0.0043125,0.5782083333333333
94,0.5535941784432288,0.49724999999999997,0.0075,0.9171670172844225,0.0044375000000000005,0.5782083333333333
95,0.553523022745675,0.4978125,0.0075,0.9173289003767217,0.0041875,0.5785
96,0.553612301933569,0.5108125,0.0075,0.9173533321806643,0.004145833333333334,0.5792916666666666
97,0.5535923194924043,0.5040208333333334,0.007604166666666666,0.9174999978195952,0.003916666666666666,0.5790416666666668
98,0.5537040178168169,0.49108333333333337,0.0075625,0.9174614133349072,0.0039791666666666664,0.5791666666666667
99,0.553403750581401,0.5179375,0.0071874999999999994,0.9172898168665803,0.00425,0.57875
100,0.5535148287056381,0.43618749999999995,0.0072499999999999995,0.9174464815848413,0.004,0.5785416666666666
101,0.5531112259012556,0.4814791666666666,0.006833333333333333,0.9173686485149172,0.004125,0.5782708333333333
102,0.5535399283629814,0.47300000000000003,0.007458333333333333,0.9172319055014153,0.004333333333333334,0.5786041666666666
103,0.5534699842304946,0.5040625,0.007833333333333333,0.9173526225291045,0.004145833333333334,0.5791458333333334
104,0.553681808271322,0.5026041666666666,0.008083333333333333,0.9174319177700783,0.004020833333333334,0.5790416666666667
105,0.5540047179017403,0.5363958333333333,0.008145833333333333,0.9172848234080465,0.00425,0.5788333333333333
