c_over_g,reliability_mean,reliability_sd,overclaim_mean,invested_mean
0.0,0.5515059455241598,0.00012939110293482987,0.9878408333333333,0.008114722222222223
0.05,0.5515059455241598,0.00012939110293482987,0.9878408333333333,0.008114722222222223
0.1,0.5620278491997283,0.0016410723382173896,0.9596338888888888,0.03632166666666666
0.15000000000000002,0.5738255753055796,0.0017633775037760753,0.9280069444444444,0.06794861111111111
0.2,0.5855558967808652,0.002490009660389403,0.896561111111111,0.09939444444444445
0.25,0.5968093676070922,0.0022824888179013092,0.866393611111111,0.12956194444444444
0.30000000000000004,0.6084022807430332,0.00269190471929747,0.8353166666666666,0.16063888888888891
0.35000000000000003,0.6191077981265642,0.0031561928157458176,0.8066180555555555,0.1893375
0.4,0.6301253373176997,0.0036399495075264874,0.7770825000000001,0.21887305555555556
0.45,0.6414980138873205,0.0037200040838580185,0.7465947222222222,0.24936083333333336
0.5,0.6526151361090907,0.004293734526935389,0.7167919444444445,0.2791636111111111
0.55,0.6638790915511757,0.004161516241063573,0.6865955555555556,0.30935999999999997
0.6000000000000001,0.674937283300417,0.004495552136315417,0.6569519444444445,0.3390036111111111
0.65,0.6857025407496643,0.004677803324986693,0.6280927777777778,0.3678627777777778
0.7000000000000001,0.6969994278791956,0.004134234956017004,0.597808888888889,0.39814666666666665
0.75,0.7089519658766719,0.004581483748229281,0.5657669444444444,0.4301886111111111
0.8,0.7199802435840241,0.004809949412925974,0.5362033333333333,0.4597522222222221
0.8500000000000001,0.7308073589206785,0.004344562688893757,0.507178888888889,0.4887766666666667
0.9,0.7418328264563123,0.004145203899939837,0.4776222222222222,0.5183333333333333
0.9500000000000001,0.7531369314802512,0.004308976066998153,0.4473183333333333,0.5486372222222222
1.0,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.05,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.1,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.1500000000000001,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.2000000000000002,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.25,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.3,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.35,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.4000000000000001,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.4500000000000002,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.5,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.55,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.6,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.6500000000000001,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.7000000000000002,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.75,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.8,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.85,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.9000000000000001,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
1.9500000000000002,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
2.0,0.9173580898619904,0.00020845666523499384,0.004133055555555556,0.5790019444444445
